STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930530,0,267,94
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930531,0,272,94
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930601,112,283,94
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930602,0,267,133
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930603,0,278,117
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930604,0,239,89
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930605,0,178,89
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930606,0,261,33
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930607,5,294,94
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930608,0,289,172
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930609,0,267,67
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930610,0,283,83
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930611,0,356,172
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930612,0,361,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930613,0,339,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930614,119,322,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930615,36,306,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930616,0,322,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930617,0,311,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930618,0,333,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930619,0,322,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930620,0,333,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930621,5,333,128
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930622,0,300,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930623,38,311,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930624,0,283,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930625,0,311,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930626,33,311,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930627,0,317,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930628,3,289,-9999
