"STATION","STATION_NAME","DATE","PRCP","TMAX","TMIN"
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-12,0,100,-22
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-13,0,133,-61
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-14,0,139,-39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-15,0,161,11
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-16,0,128,39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-17,0,144,11
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-18,0,122,-72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-19,0,256,6
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-20,0,244,44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-21,0,244,39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-22,0,239,44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-23,0,228,78
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-24,0,178,111
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-25,152,183,111
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-26,0,267,100
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-27,0,233,89
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-28,0,228,117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-29,178,178,67
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-30,0,206,-17
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-01,0,228,139
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-02,0,167,-39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-03,0,111,-72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-04,0,172,-28
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-05,0,217,28
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-06,0,222,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-07,0,189,100
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-08,0,167,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-09,0,211,-11
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-10,0,278,44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-11,0,328,106
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-12,0,306,128
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-13,0,289,156
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-14,0,211,72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-15,0,183,11
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-16,0,183,67
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-17,0,183,50
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-18,0,178,44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-19,0,172,28
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-20,0,239,0
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-21,0,183,-11
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-22,0,278,100
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-23,0,261,94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-24,0,294,33
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-25,0,294,161
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-26,0,317,44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-27,0,339,111
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-28,0,283,128
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-29,104,283,117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-30,0,228,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-05-31,38,222,117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-01,0,183,94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-02,0,233,-6
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-03,0,322,111
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-04,0,333,144
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-05,0,300,117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-06,0,317,133
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-07,0,289,22
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-08,25,222,-6
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-09,0,322,133
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-10,0,278,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-11,0,278,44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-12,335,317,106
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-13,0,211,67
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-14,0,206,78
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-15,0,256,133
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-16,0,211,144
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-17,191,244,133
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-18,0,294,128
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-19,0,278,106
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-20,0,328,122
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-21,0,333,161
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-22,0,289,139
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-23,0,328,78
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-24,0,317,117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-25,0,339,139
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-26,0,322,156
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-27,0,300,167
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-28,0,300,72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-29,0,250,67
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-06-30,0,289,139
